Puzzle            |          Steps           |        Nodes Expanded    |
------------------------------------------------------------------------|
                  |   h1   |   h2   |   h3   |   h1   |   h2   |   h3   |
------------------------------------------------------------------------|
[[4, 1, 0],       |        |        |        |        |        |        |
 [2, 5, 7],       |        |        |        |        |        |        |
 [6, 8, 3]]       |   402  |   114  |   471  |   673  |   191  |   785  |
------------------------------------------------------------------------|
[[5, 4, 0],       |        |        |        |        |        |        |
 [6, 8, 1],       |        |        |        |        |        |        |
 [3, 7, 2]]       |  1610  |   264  |   102  |  2667  |   445  |  175   |
------------------------------------------------------------------------|
[[8, 1, 0],       |        |        |        |        |        |        |
 [2, 4, 7],       |        |        |        |        |        |        |
 [5, 3, 6]]       |  1358  |   368  |   343  |  2235  |   623  |   595  |
------------------------------------------------------------------------|
[[5, 8, 1],       |        |        |        |        |        |        |
 [2, 0, 7],       |        |        |        |        |        |        |
 [3, 6, 4]]       |  871   |   54   |   43   |  1430  |   95   |   80   |
------------------------------------------------------------------------|
[[5, 8, 1], [2, 0, 7], [3, 6, 4]]             |   871   |   54   |   43   |   1430   |   95   |   80   |
[[1, 6, 2], [0, 7, 3], [4, 8, 5]]             |   246   |   357   |   21   |   411   |   622   |   40   |
[[3, 8, 1], [7, 0, 5], [6, 2, 4]]             |   871   |   347   |   266   |   1420   |   599   |   464   |
[[6, 7, 0], [8, 3, 5], [4, 1, 2]]             |   854   |   268   |   272   |   1408   |   470   |   473   |
[[0, 1, 2], [4, 3, 5], [8, 7, 6]]             |   716   |   371   |   74   |   1175   |   634   |   130   |
[[0, 1, 4], [2, 8, 5], [3, 7, 6]]             |   1567   |   644   |   338   |   2595   |   1093   |   590   |
[[1, 3, 7], [5, 8, 6], [0, 2, 4]]             |   1460   |   527   |   109   |   2416   |   904   |   189   |
[[0, 1, 8], [2, 3, 4], [5, 6, 7]]             |   495   |   503   |   64   |   814   |   861   |   112   |
[[3, 4, 0], [8, 6, 2], [7, 5, 1]]             |   565   |   382   |   437   |   932   |   653   |   725   |
[[4, 2, 3], [0, 7, 5], [6, 1, 8]]             |   565   |   103   |   318   |   949   |   177   |   549   |
[[2, 3, 5], [7, 0, 4], [6, 8, 1]]             |   267   |   53   |   51   |   451   |   100   |   94   |
[[1, 6, 0], [2, 3, 8], [5, 4, 7]]             |   195   |   111   |   419   |   325   |   192   |   721   |
[[1, 4, 6], [3, 8, 7], [5, 0, 2]]             |   705   |   142   |   274   |   1182   |   244   |   477   |
[[1, 7, 0], [3, 4, 2], [6, 5, 8]]             |   206   |   240   |   256   |   345   |   411   |   446   |
[[8, 5, 6], [4, 3, 0], [7, 1, 2]]             |   819   |   386   |   527   |   1330   |   661   |   882   |
[[7, 1, 4], [3, 6, 5], [0, 2, 8]]             |   1276   |   317   |   301   |   2114   |   544   |   523   |
[[5, 1, 8], [2, 4, 6], [0, 7, 3]]             |   319   |   58   |   61   |   537   |   103   |   105   |
[[0, 6, 1], [2, 5, 4], [7, 8, 3]]             |   840   |   170   |   534   |   1384   |   287   |   894   |
[[0, 8, 2], [6, 1, 4], [3, 7, 5]]             |   1845   |   96   |   303   |   3025   |   172   |   530   |
[[0, 4, 8], [3, 5, 1], [7, 6, 2]]             |   817   |   228   |   157   |   1347   |   387   |   261   |
[[1, 4, 5], [0, 7, 2], [6, 3, 8]]             |   629   |   477   |   308   |   1028   |   814   |   536   |
[[5, 4, 1], [2, 7, 6], [3, 8, 0]]             |   1332   |   132   |   103   |   2204   |   227   |   180   |
[[1, 5, 2], [0, 7, 4], [3, 8, 6]]             |   408   |   194   |   292   |   685   |   328   |   507   |
[[6, 1, 2], [5, 3, 7], [4, 0, 8]]             |   313   |   211   |   340   |   518   |   378   |   586   |
[[4, 5, 2], [1, 6, 0], [8, 3, 7]]             |   537   |   315   |   286   |   898   |   539   |   498   |
[[8, 2, 4], [7, 0, 3], [6, 5, 1]]             |   764   |   206   |   334   |   1249   |   362   |   585   |
[[3, 0, 7], [8, 4, 5], [2, 6, 1]]             |   892   |   284   |   77   |   1471   |   477   |   131   |
[[7, 0, 3], [1, 6, 2], [5, 4, 8]]             |   180   |   673   |   344   |   300   |   1137   |   601   |
[[2, 8, 3], [1, 5, 4], [7, 0, 6]]             |   578   |   341   |   354   |   959   |   584   |   614   |
[[2, 4, 3], [8, 1, 7], [5, 0, 6]]             |   719   |   476   |   372   |   1195   |   817   |   650   |
[[7, 1, 8], [0, 3, 4], [2, 6, 5]]             |   825   |   203   |   285   |   1337   |   355   |   498   |
[[7, 4, 8], [0, 2, 5], [1, 6, 3]]             |   867   |   539   |   360   |   1407   |   925   |   621   |
[[6, 8, 2], [7, 1, 0], [3, 4, 5]]             |   711   |   527   |   333   |   1167   |   904   |   571   |
[[5, 7, 1], [6, 3, 8], [4, 2, 0]]             |   440   |   518   |   348   |   729   |   889   |   603   |
[[1, 7, 4], [8, 0, 5], [2, 6, 3]]             |   803   |   91   |   528   |   1331   |   158   |   883   |
[[7, 6, 1], [8, 0, 5], [3, 4, 2]]             |   1172   |   662   |   325   |   1936   |   1126   |   564   |
[[7, 5, 6], [2, 0, 8], [4, 1, 3]]             |   742   |   366   |   88   |   1238   |   630   |   156   |
[[6, 0, 1], [5, 8, 7], [4, 3, 2]]             |   536   |   542   |   424   |   876   |   929   |   729   |
[[5, 8, 6], [0, 3, 2], [7, 4, 1]]             |   535   |   61   |   280   |   884   |   112   |   486   |
[[0, 8, 4], [5, 7, 2], [6, 1, 3]]             |   1502   |   733   |   379   |   2427   |   1245   |   654   |
[[7, 0, 1], [5, 8, 4], [6, 3, 2]]             |   954   |   236   |   342   |   1592   |   397   |   595   |
